Neighborhood,Street,Address1,Address2,Intersection,From,To,Permitee,Contractor,Permit,ProjectCategory,ConstructionNotes,WorkSchedule,ExpirationDate,EstimatedCompletionDate,RoadwayPlatesInUse,SidewalkPlatesInUse,Status,TrenchLength,ContactNumber,NumberofWorkZones,District
ROXBURY,MT PLEASANT AV,,,DUDLEY ST,,,JRF,JRF,EXCA-700954,SERVICE,INSTALL WATER AND FIREPIPE / ON HOLD,Days & Weekends,Jun  5 2017 12:00AM,Jun  5 2017 12:00AM,1,0,PLATES PINNED & BERMED,,,1,10B
ROXBURY,MT PLEASANT AV,81,,,,,Boston Water & Sewer Commission,Albanese,EXCA-691766,,,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,5,0,PLATES PINNED & BERMED,,617-989-7000,1,10B
ROXBURY,MT PLEASANT ST,7,85,,,,Boston Water & Sewer Commission,Albanese,EXCA-656302,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,Jun 24 2017 12:00AM,Jun 24 2017 12:00AM,,,DOWN IN BINDER AWAITING TOP,,,1,10B
ROXBURY,PERRIN ST,63,,,,,National Grid,National Grid,EMER-665065,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 26 2017 12:00AM,May 26 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,PLEASANTON ST,11,,,,,National Grid,National Grid,EMER-668131,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun 10 2017 12:00AM,Jun 10 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,PLEASANTON ST,7,12,,,,National Grid,National Grid,EXCA-657294,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  6 2017 12:00AM,Jul  6 2017 12:00AM,1,0,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,PRESCOTT ST,20,,,,,National Grid,National Grid,EXCA-695989,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,,May 10 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,PROCTOR ST,0,,,,,Verizon,Parkside Utility Con,EXCA-711498,MAINTENANCE,REPLACE  CONDUIT,Days & Weekends,Jun 25 2017 12:00AM,Jun 25 2017 12:00AM,0,,DOWN IN BINDER AWAITING TOP,,800-446-8946,1,10B
ROXBURY,ROBEY ST,39,,,,,National Grid,Bond Brothers,EXCA-715463,SERVICE,NEW GAS SERVICE,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,,,,,877-304-1148,1,10B
ROXBURY,ROBEY ST,41,,,,,National Grid,Bond Brothers Inc,EXCA-715468,SERVICE,NEW GAS SERVICE,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,,,,,877-304-1148,1,10B
ROXBURY,SAVIN ST,51,,,,,,,EXCA-698682,,,Days & Weekends,,,,,,,,,10B
ROXBURY,TOWNSEND ST,135,,,,,Sean Farrell,Sean Farrell,,EMERGENCY,EMERGENCY SEWER REPAIR,Days & Weekends,Jun  6 2017 12:00AM,Jun  6 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-293-7660,1,10B
ROXBURY,TREMONT ST,830,,,,,Verizon,Verizon,EMER-710353,EMERGENCY,CABLE REPAIR,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-429-0514,1,10B
ROXBURY,TREMONT ST,890,1002,,,,National Grid,Feeney Brothers Excavation,EXCA-694643,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jul  5 2017 12:00AM,Jul  5 2017 12:00AM,2,1,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,VINE ST,,,,,,Boston Water & Sewer Commission,Albanese,EXCA-691764,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10B
ROXBURY,WAKULLAH ST,24,,,,,Verizon,Parkside Utilty Con,EXCA-697847,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jul  8 2017 12:00AM,Jul  8 2017 12:00AM,,,,,617-913-1984,1,10B
ROXBURY,WARREN ST,384,,,,,BTD,,EXCA-687477,NEW CONDUIT AND/OR MAIN,INSTALL CONDUIT,Days & Weekends,Nov 15 2017 12:00AM,Nov 15 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,300,,1,10B
ROXBURY,WARREN ST,384,,,,,Eversource Electric,Eversource Electric,EMER-679417,EMERGENCY,ELECTRICAL OUTAGE,Days & Weekends,May 24 2017 12:00AM,May 24 2017 12:00AM,0,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10B
ROXBURY,WARREN ST,473,,,,,National Grid,National Grid,EMER-665085,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  3 2017 12:00AM,,4,0,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,WARREN ST,65,,,,,Boston Water & Sewer Commission,BWSC,EMER-,EMERGENCY,SEWER REPAIR,Days & Weekends,May 23 2017 12:00AM,May 23 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,WASHINGTON ST,2101,,,,,National Grid,Bond Brothers,EXCA-643585,SERVICE,RELAY GAS SERVICE,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,2,1,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,WASHINGTON ST,2183,,,,,National Grid,National Grid,EMER-665077,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun  3 2017 12:00AM,Jun  3 2017 12:00AM,2,,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,WASHINGTON ST,2183,,,,,National Grid,National Grid,EMER-665088,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  6 2017 12:00AM,Jul 11 2017 12:00AM,4,0,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,WASHINGTON ST,2565,,,,,Metro Equipment Corp,Metro Equipment Corp,EXCA-717656,SERVICE,"INSTALLATION OF NEW WATER, SEWER, AND FIREPIPE",Days & Weekends,Jul  2 2017 12:00AM,Jul  2 2017 12:00AM,5,1,PLATES PINNED & BERMED,,617-719-6519,1,10B
ROXBURY,WASHINGTON ST,2757,,,,,Larosa Landscaping,Larosa Landscaping,EXCA-657719,SERVICE,"INSTALLATION OF NEW WATER, SEWER, AND FIREPIPE",Days & Weekends,Jun  9 2017 12:00AM,Jul 11 2017 12:00AM,1,1,ONGOING SECTIONS TOPPED TO GRADE,,508-404-0193,1,10B
ROXBURY,WASHINGTON ST,2757,,,,,Larosa Landscaping,Larosa Landscaping,EXCA-714616,SERVICE,"INSTALL WATER, SEWER, FIREPIPE",Days & Weekends,Jun 25 2017 12:00AM,Jun 25 2017 12:00AM,2,1,PLATES PINNED & BERMED,,508-404-0193,1,10B
ROXBURY,WAUMBECK ST,98,,,,,Atlantic Excavation,Atlantic Excavation,EXCA-707990,SERVICE,INSTALLATION OF WATER & SEWER,Days & Weekends,Jun  4 2017 12:00AM,Jun  4 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-293-0233,1,10B
ROXBURY,WESTMINSTER AV,6,,,,,BTD,Larosa,EXCA-714615,SERVICE,"INSTALL WATER, SEWER, FIREPIPE",Days & Weekends,Jun 25 2017 12:00AM,Jun 25 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,781-762-0065,1,10B
ROXBURY,WILLIAMS ST,10,,,,,Eversource Electric,Mirra,EXCA-715403,SERVICE,INSTALL CONDUIT,Days & Weekends,Jun 30 2017 12:00AM,Jun 30 2017 12:00AM,1,0,PLATES PINNED & BERMED,,800-592-2000,1,10B
ROXBURY,WILLIAMS ST,38,,,,,National Grid,National Grid,EXCA-657719,MAINTENANCE,CORROSION WORK,Days & Weekends,,,2,1,PLATES PINNED & BERMED,,,1,10B
ROXBURY,WINTHROP ST,37,40,,,,Verizon,Parkside Utility Con,EXCA-664117,SERVICE,EXTEND CONDUIT,Days & Weekends,Jun  5 2017 12:00AM,Jun  5 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,10B
MISSION HILL/FENWAY,BEACON ST,844,922,,,,BOSTON PUBLIC WORKS,SUSI,EXCA-663272,,AUDOBON CIRCLE PROJECT,Days & Weekends,Jun 21 2017 12:00AM,Jun 21 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,,,BROOKLINE AV,,,J Derenzo,J Derenzo,EXCA-503106,SERVICE,INSTALL WATER,Days & Weekends,Jun 11 2017 12:00AM,Jun 11 2017 12:00AM,2,0,PLATES PINNED & BERMED,,617-212-4516,1,10A
MISSION HILL/FENWAY,BROOKLINE AV,180,,,,,Comcast,Mira Co,EXCA-692993,NEW CONDUIT AND/OR MAIN,CONDUIT REPAIR,Weekends,Jul  2 2017 12:00AM,Jul  2 2017 12:00AM,,,DOWN IN BINDER AWAITING TOP,200,,1,10A
MISSION HILL/FENWAY,BROOKLINE AV,186,,,,,J Derenzo,J Derenzo,EXCA-710293,SERVICE,INSTALL DRAIN,Days & Weekends,Jun 18 2017 12:00AM,Jun 18 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-212-4516,1,10A
MISSION HILL/FENWAY,BROOKLINE AV,186,,,,,J'Derenzo,J'Derenzo,EXCA-710293,SERVICE,,Days & Weekends,Jun 18 2017 12:00AM,Jun 18 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,BROOKLINE AV,200,,,,,Eversource Electric,Sheerin Construction,EXCA-643247,EMERGENCY,RESTORATION OF CASTING,Nights,Jun 29 2017 12:00AM,Jun 29 2017 12:00AM,,,,,800-592-2000,1,10A
MISSION HILL/FENWAY,BURBANK ST,80,,,,,Extenet,Waveguide,EXCA-620336,SERVICE,INSTALLATION OF LIGHTPOLE & BASE,Days & Weekends,May 30 2017 12:00AM,May 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,CALUMET ST,190,,,,,National Grid,Bond Brothers,EXCA-689056,SERVICE,RELAY GAS SERVICE,Days & Weekends,Jun 30 2017 12:00AM,Jun 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,FRANCIS ST,34,,,,,NCCL Enterprises,NCCL Enterprises,EXCA-718898,EMERGENCY,EMERGENCY SEWER REPAIR,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,2,1,PLATES PINNED & BERMED,,978-210-0060,1,10A
MISSION HILL/FENWAY,GAINSBOROUGH ST,,,ST BOTOLPH ST,,,MASSDOT,AR BELLI,EXCA-617464,,RECON OF RDWY,Days & Weekends,Jul 15 2017 12:00AM,Nov 15 2017 12:00AM,1,0,PLATES PINNED & BERMED,,617-893-9288,1,10A
MISSION HILL/FENWAY,GAINSBOROUGH ST,47,115,,,,Boston Water & Sewer Commission,Fed Corp,EXCA-672371,NEW CONDUIT AND/OR MAIN,DRAIN RELAY / TEMP WATER BYPASS,Days & Weekends,May 27 2017 12:00AM,Aug  1 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,705,,1,10A
MISSION HILL/FENWAY,GURNEY ST,,,,,,Eversource,Mirra Co,EXCA-717116,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,Jul  8 2017 12:00AM,Jul  8 2017 12:00AM,3,0,PLATES PINNED & BERMED,,,1,10A
MISSION HILL/FENWAY,GURNEY ST,30,,,,,National Grid,Feeney Brothers,EXCA-716032,SERVICE,RELAY GAS MAIN,Days & Weekends,Jul  5 2017 12:00AM,Jul  5 2017 12:00AM,2,0,PLATES PINNED & BERMED,,877-304-1148,1,10A
MISSION HILL/FENWAY,HEATH ST,200,,,,,National Grid,National Grid,EXCA-708920,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10A
MISSION HILL/FENWAY,HEMENWAY ST,12,240,,,,Boston Water & Sewer Commission,Fed Corp,EXCA-698085,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,Jul 11 2017 12:00AM,Sep 15 2017 12:00AM,5,,PLATES PINNED & BERMED,,,1,10A
MISSION HILL/FENWAY,HUNTINGTON AV,758,,,,,National Grid,National Grid,EMER-665082,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun  3 2017 12:00AM,Jun  3 2017 12:00AM,,,,,877-304-1148,1,10A
MISSION HILL/FENWAY,IPSWICH ST,30,,,,,Extenet,Neecc,EXCA-682502,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10A
MISSION HILL/FENWAY,KILMARNOCK ST,,,PUBLIC ALLEY 932,,,Corbett Excavation,Corbett Excavation,,EMERGENCY,EMERGENCY SEWER REPAIR,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,PETERBOROUGH ST,125,,,,,National Grid,National Grid,EMER-665066,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 27 2017 12:00AM,May 27 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10A
MISSION HILL/FENWAY,PETERBOROUGH ST,16,,,,,Eversource Electric,Sheerin Construction,EXCA-705653,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,Jun  7 2017 12:00AM,Jun  7 2017 12:00AM,1,1,PLATES PINNED & BERMED,,781-690-6531,1,10A
MISSION HILL/FENWAY,PUBLIC ALLEY 810,,,,,,Comcast,Mirra Co,EXCA-699043,MAINTENANCE,CASTING REPAIR,Days & Weekends,May 19 2017 12:00AM,May 19 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-556-9979,1,10A
MISSION HILL/FENWAY,PUBLIC ALLEY 821,,,,,,Lightower Fiber LLC,Phoeenix Communication,EXCA-715313,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,Jun  9 2017 12:00AM,Jun  9 2017 12:00AM,1,,PLATES PINNED & BERMED,,,1,10A
MISSION HILL/FENWAY,PUBLIC ALLEY 821,,,R/O ST BOTOLPH ST,,,Welch Corp,Welch Corp,EXCA-700353,SERVICE,RECONSTRUCTION / ONHOLD,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,0,0,DOWN IN BINDER AWAITING TOP,,617-590-7035,1,10A
MISSION HILL/FENWAY,RALEIGH ST,2,,,,,Verizon,Parkside Utility Con,EXCA-714581,MAINTENANCE,REPLACE EXISTING CONDUIT,Days & Weekends,Jun 18 2017 12:00AM,Jun 18 2017 12:00AM,,,START 6/8,,617-285-9610,1,10A
MISSION HILL/FENWAY,S HUNTINGTON ST,33,,,,,National Grid,Bond Brothers,EXCA-670710,SERVICE,RELAY GAS MAIN,Days & Weekends,Jul  6 2017 12:00AM,Jul  6 2017 12:00AM,2,0,PLATES PINNED & BERMED,,877-304-1148,1,10A
MISSION HILL/FENWAY,SCOTIA ST,,,ST CECILIA ST,,,Extenet,NEECC,EXCA-677943,SERVICE,INSTALL CONDUIT,Days & Weekends,May 30 2017 12:00AM,,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,SOUTH HUNTINGTON AV,33,43,,,,Eversource Electric,Sheerin Construction,EXCA-715409,NEW CONDUIT AND/OR MAIN,INSTALL CONDUIT,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,2,0,PLATES PINNED & BERMED,,,1,10A
MISSION HILL/FENWAY,ST STEPHEN ST,106,122,,,,ExteNet Systems,Waveguide,EXCA-679258,SERVICE,INSTALLATION OF CONDUIT / MICROTRENCH,Days & Weekends,Jun 16 2017 12:00AM,Jun 16 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,978-758-0999,1,10A
MISSION HILL/FENWAY,ST STEPHEN ST,121,,,,,Extenet,NEECC,EXCA-679255,SERVICE,INSTALL CONDUIT,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,ST STEPHEN ST,18,57,,,,National Grid,Feeney Brothers Excavation,EXCA-672726,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN / SERVICES,Days & Weekends,Jun 29 2017 12:00AM,Jul 15 2017 12:00AM,8,2,PLATES PINNED & BERMED,317,877-304-1203,1,10A
MISSION HILL/FENWAY,ST STEPHEN ST,23,,,,,ExteNet Systems,NE Elect Contracting Corp,EXCA-679260,SERVICE,INSTALLTION OF CONDUIT,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,,,NO START,,,1,10A
MISSION HILL/FENWAY,TREMONT ST,1465,1467,,,,Comcast,PV Barone Corp,EXCA-718275,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jul 11 2017 12:00AM,Jul 11 2017 12:00AM,,,DOWN IN BINDER AWAITING TOP,,617-593-2426,1,10A
MISSION HILL/FENWAY,TREMONT ST,1570,,,,,Boston Water & Sewer Commission,BWSC,EMER-701447,EMERGENCY,LEAK REPAIR,Days & Weekends,May 26 2017 12:00AM,May 26 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10A
MISSION HILL/FENWAY,WENSLEY ST,22,24,,,,Comcast,P V Barone,EXCA-712708,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jun 28 2017 12:00AM,Jun 28 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-556-9979,1,10A
MISSION HILL/FENWAY,WESTLAND AV,57,,,,,Extenet,Neecc,EXCA-682507,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
EAST BOSTON,BAYSWATER ST,,,LILLIAN ST,,,Verizon,Verizon,EMER-692677,EMERGENCY,CABLE REPAIR,Days & Weekends,May 23 2017 12:00AM,May 23 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,09
